FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
82,304F001,4/19/2010,17:19:17,Methanol,764.6,0.13,0.87,0,0,2.84,2.39,0.35,7.5,Extinction
83,304F002,4/19/2010,21:18:05,Methanol,772,0.12,0.87,0,0,–,,,5.45,Extinction
84,304R001,4/19/2010,17:51:24,Methanol,767.2,0.12,0.87,0,0,2.35,1.42,0.35,10.8,Extinction
85,304R002,4/19/2010,20:12:58,Methanol,771.2,0.12,0.87,0,0,2.4,1.77,0.35,9.3,Extinction
86,305F002,4/19/2010,19:16:37,Methanol,770,0.12,0.87,0,0,3.07,2.56,0.35,9,Extinction
87,305F003,4/19/2010,20:38:54,Methanol,771.2,0.12,0.87,0,0,2.64,1.92,0.38,9.3,Extinction
88,053R001,5/5/2010,22:37:54,Methanol,537.5,0.25,0.6,0.15,0,3.01,–,0.53,14.8,Disruption
89,053F001,5/5/2010,22:19:33,Methanol,537.4,0.25,0.6,0.15,0,3.7,–,0.51,24,Disruption
90,141R001,5/6/2010,0:07:51,Methanol,539.2,0.25,0.6,0.15,0,3.62,–,0.53,20.1,Disruption
91,141F001,5/5/2010,23:10:01,Methanol,538.3,0.25,0.6,0.15,0,3.51,–,0.51,18,Disruption
92,061F002,6/14/2010,22:54:56,Heptane,536.3,0.25,0.6,0.15,0,3.41,–,0.55,21.7,Disruption
